ABA,AviSys
Common Moorhen,Eurasian Moorhen
Fork-tailed Swift,Pacific Swift
Purple Swamphen,Gray-headed Swamphen
Stonechat,Siberian Stonechat
Hwamei,Chinese Hwamei
Japanese Bush-Warbler,Japanese Bush Warbler
,Mexican Duck
,Stejneger's Scoter
Great-winged Petrel,Gray-faced Petrel
Common Ground-Dove,Common Ground Dove
Ruddy Ground-Dove,Ruddy Ground Dove
Blue-throated Hummingbird,Blue-throated Mountain-gem
Amethyst-throated Hummingbird,Amethyst-throated Mountain-gem
Japanese White-eye,Warbling White-eye
